50.899884000,20.573051000,257.0
50.899840000,20.573084000,257.0
50.899798000,20.573129000,257.2
50.899687000,20.573191000,257.5
50.899641000,20.573247000,257.8
50.899184000,20.573459000,258.8
50.899133000,20.573475000,259.0
50.899110000,20.573462000,259.0
50.899079000,20.573424000,259.0
50.899003000,20.573432000,259.2
50.898981000,20.573419000,259.2
50.898961000,20.573376000,259.2
50.898927000,20.573365000,259.5
50.898883000,20.573368000,259.5
50.898693000,20.573452000,260.0
50.898652000,20.573458000,260.0
50.898613000,20.573445000,260.2
50.898514000,20.574087000,260.5
50.898408000,20.574748000,260.8
50.898331000,20.575249000,261.2
50.898159000,20.576299000,262.8
50.898092000,20.576706000,263.2
50.898036000,20.576930000,263.0
50.898025000,20.577017000,263.0
50.898023000,20.577109000,263.0
50.898025000,20.577165000,262.8
50.898018000,20.577266000,262.8
50.897996000,20.577347000,262.8
50.897977000,20.577363000,262.8
50.897951000,20.577375000,263.0
50.897889000,20.577377000,263.0
50.897864000,20.577367000,263.0
50.897779000,20.577352000,263.2
50.897532000,20.577364000,263.8
50.897418000,20.577343000,263.8
50.897187000,20.577205000,263.5
50.896771000,20.576955000,263.0
50.896302000,20.576673000,262.5
50.896286000,20.576663000,262.5
50.895976000,20.576476000,261.8
50.895843000,20.576396000,261.5
50.895821000,20.576383000,261.5
50.895610000,20.576262000,261.2
50.895333000,20.576077000,260.8
50.895283000,20.575991000,260.5
50.895216000,20.575900000,260.2
50.895181000,20.575837000,260.0
50.895162000,20.575799000,260.0
50.895162000,20.575745000,260.0
50.895154000,20.575692000,260.0
50.895137000,20.575645000,259.8
50.895113000,20.575606000,259.8
50.895083000,20.575579000,259.8
50.895050000,20.575566000,259.5
50.895012000,20.575568000,259.5
50.894975000,20.575588000,259.5
50.894944000,20.575625000,259.8
50.894922000,20.575674000,259.8
50.894844000,20.575676000,260.0
50.894615000,20.575663000,260.2
50.894584000,20.575645000,260.2
50.894331000,20.575493000,260.5
